Fecha;serie1;serie2;serie3;serie4;serie5
2019-12-31;6553.57;58.6;73.5;33.97;620.785
2020-01-01;6553.57;58.6;73.5;33.97;620.785
2020-01-02;6609.29;59.09;74.91;34.83;639.546
2020-01-03;6563.32;58.35;73.72;34.48;632.566
2020-01-04;6563.32;58.35;73.72;34.48;632.566
2020-01-05;6563.32;58.35;73.72;34.48;632.566
2020-01-06;6586.54;58.57;73.42;34.2;631.939
2020-01-07;6568.74;58.28;73.68;34.11;637.892
2020-01-08;6601.15;58.43;73.84;34.01;64.747
2020-01-09;6646.84;58.49;74.58;33.71;638.398
2020-01-10;6627.87;58.21;75.05;33.57;645.878
2020-01-11;6627.87;58.21;75.05;33.57;645.878
2020-01-12;6627.87;58.21;75.05;33.57;645.878
2020-01-13;6674.13;58.5;76.35;33.76;640.051
2020-01-14;6664.66;58.54;75.94;33.66;638.373
2020-01-15;6677.25;58.56;75.45;33.01;630.649
2020-01-16;6733.35;58.84;75.85;33.25;631.031
2020-01-17;6759.51;59.07;76.23;33.8;630.825
2020-01-18;6759.51;59.07;76.23;33.8;630.825
2020-01-19;6759.51;59.07;76.23;33.8;630.825
2020-01-20;6759.51;59.07;76.23;33.8;624.985
2020-01-21;6741.71;58.64;74.18;32.89;6.071
2020-01-22;6743.9;58.7;74.55;33.28;604.252
2020-01-23;6752.09;58.46;73.79;33.49;598.784
2020-01-24;6691.22;58.25;73.17;33.08;597.486
2020-01-25;6691.22;58.25;73.17;33.08;597.486
2020-01-26;6691.22;58.25;73.17;33.08;597.486
2020-01-27;6585.95;57.05;70.68;31.87;578.143
2020-01-28;6652.3;57.64;71.1;32.53;580.865
2020-01-29;6646.69;57.71;71.53;32.1;57.672
2020-01-30;6668.52;57.68;70.37;32.05;570.411
2020-01-31;6551;56.79;68.87;31.3;5.717
2020-02-01;6551;56.79;68.87;31.3;5.717
2020-02-02;6551;56.79;68.87;31.3;5.717
2020-02-03;6598.63;56.81;69.67;31.84;580.537
2020-02-04;6697.49;57.76;71.72;32.24;598.024
2020-02-05;6772.98;58.33;72;32.38;600.719
2020-02-06;6796.64;58.43;72.45;32.01;600.156
2020-02-07;6761.26;57.87;71.4;31.72;591.973
2020-02-08;6761.26;57.87;71.4;31.72;591.973
2020-02-09;6761.26;57.87;71.4;31.72;591.973
2020-02-10;6811.83;58.05;72.17;31.61;582.055
2020-02-11;6823.59;58.48;72.94;32.11;587.713
2020-02-12;6867.92;58.84;73.99;32.35;59.029
2020-02-13;6858.92;58.45;73.08;31.95;586.656
2020-02-14;6872.68;58.46;73.11;32.04;589.059
2020-02-15;6872.68;58.46;73.11;32.04;589.059
2020-02-16;6872.68;58.46;73.11;32.04;589.059
2020-02-17;6872.68;58.46;73.11;32.04;58.357
2020-02-18;6853.04;58.21;72.58;31.7;570.677
2020-02-19;6886.47;58.59;73.08;32;566.776
2020-02-20;6860.52;58.24;71.84;31.44;561.378
2020-02-21;6788.6;58.05;71.47;31.07;565.016
2020-02-22;6788.6;58.05;71.47;31.07;565.016
2020-02-23;6788.6;58.05;71.47;31.07;565.016
2020-02-24;6561.94;55.55;68.98;29.69;548.447
2020-02-25;6363.37;54.29;68.78;29.22;53.702
2020-02-26;6339.38;54.34;69.35;28.82;529.175
2020-02-27;6060.67;52.65;68.28;27.9;525.094
2020-02-28;6011.73;52.27;68.34;27.98;504.076
2020-02-29;6011.73;52.27;68.34;27.98;504.076
2020-03-01;6011.73;52.27;68.34;27.98;504.076
2020-03-02;6288.64;53.14;69.31;28.89;526.717
2020-03-03;6112.07;52.69;68.89;28.4;530.768
2020-03-04;6370.35;54.51;70.07;28.91;53.406
2020-03-05;6155.58;52.67;69;27.48;524.062
